2.6927 	WARNING 	Component `RBButtonBoxBackend` does not appear to be a subclass of `psychopy.experiment.components._base.BaseComponent`. This will be skipped.
2.6928 	WARNING 	Component `RBPhotodiodeValidatorBackend` does not appear to be a subclass of `psychopy.experiment.components._base.BaseComponent`. This will be skipped.
2.6928 	WARNING 	Component `RipondaButtonBoxBackend` does not appear to be a subclass of `psychopy.experiment.components._base.BaseComponent`. This will be skipped.
2.6928 	WARNING 	Component `RipondaPhotodiodeValidatorBackend` does not appear to be a subclass of `psychopy.experiment.components._base.BaseComponent`. This will be skipped.
2.6928 	WARNING 	Component `StimTrackerButtonBoxBackend` does not appear to be a subclass of `psychopy.experiment.components._base.BaseComponent`. This will be skipped.
2.6928 	WARNING 	Component `StimTrackerPhotodiodeValidatorBackend` does not appear to be a subclass of `psychopy.experiment.components._base.BaseComponent`. This will be skipped.
6.1734 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
6.1746 	INFO 	Loaded monitor calibration from ['2024_05_01 18:24']
6.3799 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fdd73126ac0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fdd731269d0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fdd734200a0>, multiSample=False, name='window1', numSamples=2, pos=[1096.0, 667.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3800 	EXP 	window1: backgroundImage = ''
6.3800 	EXP 	window1: backgroundFit = 'none'
6.3907 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3913 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3918 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3925 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3932 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3934 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3939 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3946 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3948 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3950 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3955 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3960 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3965 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3970 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3974 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3979 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3984 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3987 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3990 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3997 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4000 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4007 	DEBUG 	Uploading Texture Font fontname to graphics card
6.4043 	DEBUG 	Upload of Texture Font fontname complete
6.4100 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4107 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4114 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4116 	DEBUG 	Uploading Texture Font fontname to graphics card
6.4135 	DEBUG 	Upload of Texture Font fontname complete
6.4151 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.4151 	EXP 	window1: recordFrameIntervals = False
6.5817 	EXP 	window1: recordFrameIntervals = True
7.4157 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

7.4219 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4223 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4229 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4237 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4244 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4253 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4256 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4264 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4273 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4281 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.4284 	DEBUG 	Uploading Texture Font fontname to graphics card
7.4314 	DEBUG 	Upload of Texture Font fontname complete
7.4502 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
10.4021 	INFO 	keyboard.Keyboard is using iohub backend.
10.5292 	INFO 	keyboard.Keyboard is using iohub backend.
10.5293 	INFO 	keyboard.Keyboard is using iohub backend.
10.5294 	INFO 	keyboard.Keyboard is using iohub backend.
10.5295 	INFO 	keyboard.Keyboard is using iohub backend.
